11.0.1.1,10000,43756,4060,522,0,0,25056,1540,0,0,0,0.000905
11.0.1.1,10000,1552,42456,586,0,0,28128,1696,0,0,0,0.002000
11.0.1.1,10000,2852,41156,1,585,789750,48,4,0,368,0,0.002000
11.0.1.1,10000,11324,38464,3,526,710100,144,6,0,368,0,0.000902
11.0.1.1,10000,10024,38464,524,0,0,25152,1548,0,0,0,0.000902
11.0.1.1,10000,42456,10024,3,581,784350,144,9,0,368,0,0.002001
11.0.1.1,10000,43756,8724,576,0,0,27648,1685,0,0,0,0.002001
11.0.6.1,10036,0,36240,0,528,712800,0,5887,308,0,695,0.007505
11.0.1.1,10000,44428,9932,3,529,714150,144,12,0,368,0,0.000905
11.0.1.1,10000,45728,11232,526,0,0,25248,1525,0,0,0,0.000903
11.0.1.1,10000,10024,44428,578,0,0,27744,1716,0,0,0,0.002000
11.0.1.1,10000,11324,43128,4,580,783000,192,8,0,368,0,0.002000
11.0.1.1,10000,19796,44336,1,524,707400,48,4,0,368,0,0.000902
11.0.1.1,10000,18496,44336,524,0,0,25152,1517,0,0,0,0.000902
11.0.1.1,10000,44428,18496,3,586,791100,144,12,0,368,0,0.001999
11.0.1.1,10000,45728,17196,581,0,0,27888,1681,0,0,0,0.001999
11.0.6.1,10030,62696,16960,17,0,0,816,0,0,32,-194,0.010123
11.0.6.1,10022,0,16660,0,764,1030400,0,8147,454,564,786,0.012384
11.0.6.1,10068,0,25840,0,524,707400,0,5641,314,-65415,-194,0.004133
11.0.1.1,10000,52900,19704,2,530,715500,96,5,0,368,0,0.000907
11.0.1.1,10000,54200,21004,528,0,0,25344,1507,0,0,0,0.000905
11.0.1.1,10000,18496,52900,581,0,0,27888,1674,0,0,0,0.002000
11.0.6.1,10068,27140,16660,0,243,327050,0,2436,131,-65415,909,0.004000
11.0.1.1,10000,19796,51600,1,580,783000,48,4,0,368,0,0.002003
11.0.6.1,10008,1300,16960,770,3,4050,36960,37,1,45,289,0.015753
11.0.1.1,10000,28268,55408,2,526,710100,96,7,0,368,0,0.000899
11.0.1.1,10000,26968,56708,526,0,0,25248,1489,0,0,0,0.000903
11.0.1.1,10000,52900,26968,2,586,791100,96,5,0,368,0,0.002001
11.0.1.1,10000,54200,25668,582,0,0,27936,1654,0,0,0,0.002001
11.0.1.1,10000,65272,26876,1,526,710100,48,4,0,368,0,0.000905
11.0.1.1,10000,1036,28176,525,0,0,25200,1495,0,0,0,0.000903
11.0.1.1,10000,26968,65272,583,0,0,27984,1651,0,0,0,0.002000
11.0.1.1,10000,28268,63972,2,583,787050,96,7,0,368,0,0.001996
11.0.6.1,10052,1300,47176,490,1,1350,23520,18,0,32,1041,0.009390
11.0.6.1,10058,25920,16660,0,493,664550,0,5020,267,-93835,1041,0.008897
11.0.1.1,10000,35440,61280,2,525,708750,96,8,0,368,0,0.000903
11.0.1.1,10000,34140,62580,525,0,0,25200,1510,0,0,0,0.000903
11.0.1.1,10000,65272,34140,1,582,785700,48,4,0,368,0,0.002000
11.0.6.1,10058,0,24620,0,270,364500,0,3071,160,-22,-17,0.009135
11.0.1.1,10000,1036,32840,579,0,0,27792,1647,0,0,0,0.002000
11.0.5.1,10012,1300,16960,770,1,1350,36960,18,0,41,935,0.018004
11.0.1.1,10000,4308,35348,1,529,714150,48,2,0,368,0,0.000906
11.0.1.1,10000,5608,36648,528,0,0,25344,1501,0,0,0,0.000904
11.0.1.1,10000,34140,4308,581,0,0,27888,1674,0,0,0,0.002000
11.0.1.1,10000,35440,3008,2,581,784350,96,8,0,368,0,0.002000
11.0.1.1,10000,43912,4216,1,525,708750,48,3,0,368,0,0.000903
11.0.1.1,10000,42612,5516,526,0,0,25248,1559,0,0,0,0.000903
11.0.6.1,10034,0,16660,0,766,1033100,0,8215,462,926,1043,0.015636
11.0.1.1,10000,4308,42612,2,585,789750,96,5,0,368,0,0.002000
11.0.1.1,10000,5608,40012,581,0,0,27888,1651,0,0,0,0.002000
11.0.1.1,10000,12780,49020,0,533,719550,0,0,0,368,0,0.000907
11.0.1.1,10000,14080,47720,531,0,0,25488,1499,0,0,0,0.000905
11.0.1.1,10000,42612,12780,582,0,0,27936,1719,0,0,0,0.002000
11.0.1.1,10000,43912,11480,1,581,784350,48,3,0,368,0,0.002001
